segmented original sentence,original sentence,translated sentence,syntheticity,bleu,chrf_score,targets,comet_score
Золоть-ый-о по 10 0ё0-0 долларов?,Золото по 10 000 долларов?,Ten thousand dollars worth of gold?,1.6,0.0,0.09730639730639735,10000 Gold,0.2661671042442322
"САН-ФРАНЦІСКО. Разговор о стоимость-и золото-а редить-кий-о по-лучить-ать-ает-ся рацион-альный-им, тем боль-еть-ее в послед-ний-ее времять-я, так как цена-ы на золото выросль-и боль-еть-ё-е чем на 300% за десятилетие.","САН-ФРАНЦІСКО. Разговор о стоимости золота редко получается рациональным, тем более в последнее время, так как цены на золото выросли более чем на 300% за десятилетие.","SAN-FRANCEX – The price of gold is rarely rational, especially in recent times, as gold prices have risen by more than 300 per cent in a decade.",1.84,0.019427446513842185,0.32355758325819767,SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold,0.4301217794418335
"Еща-е в декабрь-е прошлый-ого год-а эконом-исты-коллега-и Мартин Фельдштейн и Нуриэль Руб-ина-и о-публиковать-л-и своить-и пророк-еский-ие статья-и в колонка-ах альтернатива-ный-ых мнений, храбрый-о ставить-ят-я в них под в-опрос стремя-ить-ение игра-ы на повысить-ение, благоразумие-ный-о у-казать-ывать-ают-я на риск-и золота.","Еще в декабре прошлого года экономисты-коллеги Мартин Фельдштейн и Нуриэль Рубини опубликовали свои пророческие статьи в колонках альтернативных мнений, храбро ставя в них под вопрос стремление игры на повышение, благоразумно указывая на риски золота.","As early as December last year, fellow economists Martin Feldstein and Nuriel Rubini published their prophetic articles in columns of alternative views, bravely questioning the desire to play a promotion by referring wisely to the risks of gold.",2.0,0.11327369159805759,0.43978481579335854,Lately with gold prices up more than 300 over the last decade it is harder than ever Just last December fellow economists Martin Feldstein and Nouriel Roubini each penned opeds bravely questioning bullish market sentiment sensibly pointing out gold’s risks,0.06637722998857498
И честь-ый-о бы вы думали?,И что бы вы думали?,What would you think?,1.4,0.08034284189446518,0.23457633053221286,Wouldn’t you know it,0.5632237792015076
"С тех пор как вы-слать-ют-и их статья-и, стоим-ость золото-а повысить-л-а-ся еще больше.","С тех пор как вышли их статьи, стоимость золота повысилась еще больше.","Since their articles were published, the value of gold has increased even further.",1.75,0.13896827689588265,0.5524638508157178,Since their articles appeared the price of gold has moved up still further,0.5446138978004456
Недавие-ный-о цена на золото даж-е достигнуть-ла рекорд-ный-ой от-мета-ить-ка-и в 1 3ё0-0 доллар-ов за унцию.,Недавно цена на золото даже достигла рекордной отметки в 1 300 долларов за унцию.,"Recently, the price of gold even reached a record $1,300 per ounce.",1.8571428571428572,0.022416933501922302,0.4238990316790215,Gold prices even hit a recordhigh 1300 recently,0.650174617767334
"В декабрь-е прошлый-ого год-а многий-ие сторона-ний-ник-и со-хранить-ение-я деньги-ный-ых функция-ий золото-а у-твердь-ить-ать-л-и, честь-ый-о его цена неизбежный-о дойдет до 2 0ё0-0 долларов.","В декабре прошлого года многие сторонники сохранения денежных функций золота утверждали, что его цена неизбежно дойдет до 2 000 долларов.","Last December, many supporters of the preservation of gold's monetary functions claimed that its price would inevitably reach $2,000.",2.15,0.06439931429457921,0.48189783238383327,Last December many gold bugs were arguing that the price was inevitably headed for 2000,0.4722219407558441
"Теперь-, во-одушевить-ю-енный-ые постоянный-ым рост-ом цен, не-который-е с-читают, честь-ый-о цена на золото мочь-ет вы-растить-и еще сильнее.","Теперь, воодушевленные постоянным ростом цен, некоторые считают, что цена на золото может вырасти еще сильнее.","Now, encouraged by the constant rise in prices, some believe that the price of gold can rise even further.",2.0,0.015936357366603364,0.2533272957432425,Now emboldened by continuing appreciation some are suggesting that gold could be headed even higher than that,0.48704224824905396
"Один успех-ный инвестор в золото не-давний-о объяснить-л мять-е, честь-ый-о цена акция-ий падать-л-а в течь-ение боль-еть-ё-е десятилетие-я, прежда-е чем в начал-е 1980-х гг. индекс Доу Джонс-а пересек 1 0ё0-0 отметку.","Один успешный инвестор в золото недавно объяснил мне, что цена акций падала в течение более десятилетия, прежде чем в начале 1980-х гг. индекс Доу Джонса пересек 1 000 отметку.","A successful gold investor recently explained to me that the stock price had fallen for over a decade before the Dow Jones index crossed 1,000 marks in the early 1980s.",1.6896551724137931,0.5022975362706997,0.7504372153497886,One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1000 mark in the early 1980’s,0.4780353307723999
С тех пор дать-нный индекс постоянный-о рос и ужа-е превысить-л 10 0ё0-0 отметку.,С тех пор данный индекс постоянно рос и уже превысил 10 000 отметку.,"Since then, the index has been constantly growing and has already exceeded 10,000.",1.3846153846153846,0.3026643726685863,0.5763273973800289,Since then the index has climbed above 10000,0.3326968252658844
